Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio,rank
เปรี้ยว,sour,TRUE,Thai::vocab,1504119762463,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t263a5.mp3],,,,,,,,,,,,,
ขม,bitter,TRUE,Thai::vocab,1504119762464,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t263a6.mp3],,,,,,,,,,,,,
หวาน,sweet,TRUE,Thai::vocab,1504119762465,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a7.mp3],,,,,,,,,,,,,
เค็ม,salty,TRUE,Thai::vocab,1504119762466,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a8.mp3],,,,,,,,,,,,,
เจ,vegetarian / non-meat,TRUE,Thai::vocab,1504119762467,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a9.mp3],,,,,,,,,,,,,
มาก กว่า,more than,TRUE,Thai::vocab,1504119762468,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a10.mp3],,,,,,,,,,,,,
เกินไป,too much,TRUE,Thai::vocab,1504119762469,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a11.mp3],,,,,,,,,,,,,
ที่สุด,the most,TRUE,Thai::vocab,1504119762470,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a12.mp3],,,,,,,,,,,,,
แกงเขียวหวาน,green curry,TRUE,Thai::vocab,1504119762471,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a1.mp3],,,,,,,,,,,,,
แกงเผ็ด,red curry,TRUE,Thai::vocab,1504119762472,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a2.mp3],,,,,,,,,,,,,
ต้มยำ,Thai lemongrass soup,TRUE,Thai::vocab,1504119762473,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a3.mp3],,,,,,,,,,,,,
ไข่เจียว,omelet,TRUE,Thai::vocab,1504119762474,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a4.mp3],,,,,,,,,,,,,
ส้มตำ,green papaya salad,TRUE,Thai::vocab,1504119762475,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a5.mp3],,,,,,,,,,,,,
ไก่ย่าง,grilled chicken,TRUE,Thai::vocab,1504119762476,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a6.mp3],,,,,,,,,,,,,
ไก่ผัดขิง,chicken stir-fried with ginger,TRUE,Thai::vocab,1504119762477,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t264a7.mp3],,,,,,,,,,,,,
ผัด กะเพรา หมู,pork with Thai basil,TRUE,Thai::vocab,1504119762478,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a8.mp3],,,,,,,,,,,,,
ลาบ,plate of diced meat and spices,TRUE,Thai::vocab,1504119762479,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a9.mp3],,,,,,,,,,,,,
ก๋วยเตี๋ยว,Thai noodle soup,TRUE,Thai::vocab,1504119762480,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a10.mp3],,,,,,,,,,,,,
ข้าวซอย,Northern Thai noodle soup,TRUE,Thai::vocab,1504119762481,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a11.mp3],,,,,,,,,,,,,
โจ๊ก,boiled rice soup with meat (traditional Thai breakfast),TRUE,Thai::vocab,1504119762482,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t264a12.mp3],,,,,,,,,,,,,
นึ่ง,steamed,TRUE,Thai::vocab,1504119762483,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t265a2.mp3],,,,,,,,,,,,,
ย่าง,grilled,TRUE,Thai::vocab,1504119762484,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t265a3.mp3],,,,,,,,,,,,,
