Anki Word,In Nilsen List?
วันแม่แห่งชาติ,False
เหรียญ,True
บัตรเครดิต,False
ผสม,True
ชาวบ้าน,True
ปอก,False
หั่น,True
สับ,True
ซอย,True
ทุบ,True
บุบ,False
ตำ,True
ขูด,False
คั้น,False
เด็ด,True
คั่ว,False
ปรุง,True
ชิม,True
คน,True
แช่,True
กรอง,True
หยิบ,True
